No.,tt,CO2_outdoor,PM2.5_outdoor,PM10_outdoor,CO2_classroom,PM2.5_classroom,PM10_classroom,CO2_classroom_change,PM2.5_classroom_change,PM10_classroom_change,attend_manual,vent_manual
0,2019-10-28 18:53:36,441.377,7817162.1,10042975.0,,2530619.12,7882346.0,,,,1.0,0.0
1,2019-10-28 18:54:36,447.443,7883683.949999999,13627520.0,,2635551.11,6590621.0,,104931.98999999976,-1291725.0,1.0,0.0
2,2019-10-28 18:55:36,443.399,7649111.85,10360839.0,,2690250.1149999998,6293165.0,,54699.00499999989,-297456.0,1.0,0.0
3,2019-10-28 18:56:36,446.432,7556741.3,13559651.0,694.0,2497993.9,7488432.0,,-192256.21499999985,1195267.0,1.0,0.0
4,2019-10-28 18:57:36,449.465,7538381.899999999,13094686.0,600.0,2546082.67,7803279.0,-94.0,48088.77000000002,314847.0,1.0,0.0
5,2019-10-28 18:58:36,432.278,7589171.8,12076046.0,546.0,2562778.28,6210070.0,-54.0,16695.60999999987,-1593209.0,1.0,0.0
6,2019-10-28 18:59:36,433.289,7690994.399999999,11408518.0,541.0,2448542.1899999995,8370736.0,-5.0,-114236.09000000032,2160666.0,0.0,0.0
7,2019-10-28 19:00:36,444.41,7665512.999999999,12700145.0,540.0,2481087.9299999997,8085953.0,-1.0,32545.740000000224,-284783.0,0.0,0.0
8,2019-10-28 19:01:36,445.421,7696210.899999999,12131398.0,538.0,2394847.655,6569142.0,-2.0,-86240.2749999999,-1516811.0,0.0,0.0
9,2019-10-28 19:02:36,450.476,7775914.85,10606125.0,538.0,2346025.87,8347463.0,0.0,-48821.78499999968,1778321.0,0.0,0.0
10,2019-10-28 19:03:36,456.542,7931915.649999999,11141530.0,539.0,2428735.1999999997,7118481.0,1.0,82709.32999999961,-1228982.0,0.0,0.0
11,2019-10-28 19:04:36,451.487,7875549.35,15841173.0,541.0,2388702.29,5467657.0,2.0,-40032.90999999968,-1650824.0,0.0,0.0
12,2019-10-28 19:05:36,445.421,8031132.85,12927592.0,543.0,2374308.1399999997,4643787.0,2.0,-14394.150000000373,-823870.0,0.0,0.0
13,2019-10-28 19:06:36,442.388,7691757.499999999,14374559.0,545.0,2234845.94,5615787.0,2.0,-139462.19999999972,972000.0,0.0,0.0
14,2019-10-28 19:07:36,439.355,7392489.5,19333630.0,544.0,2389144.44,7250606.0,-1.0,154298.5,1634819.0,0.0,0.0
15,2019-10-28 19:08:36,451.487,7478807.35,16387845.0,541.0,2198356.65,5302703.0,-3.0,-190787.79000000004,-1947903.0,0.0,0.0
16,2019-10-28 19:09:36,455.531,7711430.85,11614957.0,540.0,2232487.875,4196090.0,-1.0,34131.22500000009,-1106613.0,0.0,0.0
17,2019-10-28 19:10:36,452.498,8070540.649999999,11934767.0,537.0,2390282.745,6738626.0,-3.0,157794.8700000001,2542536.0,0.0,0.0
18,2019-10-28 19:11:36,440.366,7980138.899999999,11831204.0,534.0,2185099.11,5058113.0,-3.0,-205183.63500000024,-1680513.0,0.0,0.0
19,2019-10-28 19:12:36,447.443,8329727.749999999,9040786.0,534.0,2031020.2349999999,5656772.0,0.0,-154078.875,598659.0,0.0,0.0
20,2019-10-28 19:13:36,459.575,8257274.499999999,12820155.0,533.0,2069888.1999999997,4182948.0,-1.0,38867.96499999985,-1473824.0,0.0,0.0
21,2019-10-28 19:14:36,461.597,8028322.3,7565324.0,531.0,1980848.52,5973942.0,-2.0,-89039.6799999997,1790994.0,0.0,0.0
22,2019-10-28 19:15:36,467.663,7733998.449999999,13107678.0,530.0,2011051.255,6107955.0,-1.0,30202.73499999987,134013.0,0.0,0.0
23,2019-10-28 19:16:36,466.652,7656624.949999999,9407209.0,528.0,2096701.42,6121695.0,-2.0,85650.16500000004,13740.0,0.0,0.0
24,2019-10-28 19:17:36,460.586,7446499.1,8036265.0,527.0,2081337.6649999998,4684703.0,-1.0,-15363.755000000121,-1436992.0,0.0,0.0
25,2019-10-28 19:18:36,458.564,7490641.449999999,9547196.0,526.0,2024596.5549999997,5535901.0,-1.0,-56741.1100000001,851198.0,0.0,0.0
26,2019-10-28 19:19:36,459.575,7583637.05,11341051.0,526.0,1928058.1099999999,4523208.0,0.0,-96538.44499999983,-1012693.0,0.0,0.0
27,2019-10-28 19:20:36,460.586,7530029.149999999,9440482.0,526.0,1896871.085,2983057.0,0.0,-31187.024999999907,-1540151.0,0.0,0.0
28,2019-10-28 19:21:36,456.542,7656351.35,10278288.0,525.0,1911014.6149999998,5158157.0,-1.0,14143.529999999795,2175100.0,0.0,0.0
29,2019-10-28 19:22:36,460.586,7426660.949999999,8539783.0,524.0,1898388.64,6428807.0,-1.0,-12625.97499999986,1270650.0,0.0,0.0
30,2019-10-28 19:23:36,464.63,7354697.199999999,8124640.0,523.0,1964579.525,4475901.0,-1.0,66190.88500000001,-1952906.0,0.0,0.0
31,2019-10-28 19:24:36,461.597,7481482.949999999,12542332.0,523.0,2057469.16,3892093.0,0.0,92889.63500000001,-583808.0,0.0,0.0
32,2019-10-28 19:25:36,464.63,7403372.299999999,11297997.0,520.0,2132905.03,5169134.0,-3.0,75435.86999999988,1277041.0,0.0,0.0
