tt,0.3_outdoor,0.5_outdoor,1.0_outdoor,3.0_outdoor,5.0_outdoor,10.0_outdoor,0.3_classroom,0.5_classroom,1.0_classroom,3.0_classroom,5.0_classroom,10.0_classroom,CO2_outdoor,CO2_classroom,PM2.5_outdoor,PM10_outdoor,PM2.5_classroom,PM10_classroom,PM2.5_classroom_change,PM10_classroom_change,CO2_classroom_change,time
2019-12-02 14:54:02,2201645.07,1338162.5,1275972.0,2928987.0,7508875.0,15901000.0,1107877.7699999998,897438.25,925795.0,2032155.0,4726125.0,6007000.0,453.6,630.0,5944386.104,136133454.6,3155796.1619999995,13886039.0,-146104.41700000037,-32128.599999999627,0.0,0.7253743710122879
2019-12-02 14:55:02,2132303.67,1310247.5,1272792.0,2604582.0,7288000.0,12367000.0,1070669.3399999999,881228.0,856891.0,1765017.0,4372750.0,4947000.0,437.0,630.0,5500605.252000001,86464209.8,2997031.653,12799137.2,-158764.5089999996,-1086901.8000000007,0.0,0.7223639620597556
2019-12-02 14:56:02,2073647.7899999998,1279991.25,1198940.0,2327913.0,5742000.0,14134000.0,1044394.2899999998,864664.25,886219.0,1936737.0,4372750.0,5300000.0,430.2,630.0,4730109.768000001,31843554.8,2904416.8490000004,11761714.8,-92614.80399999954,-1037422.3999999985,0.0,0.7193398003386511
2019-12-02 14:57:02,2039167.9799999997,1253798.75,1153004.0,2261142.0,5918750.0,11307000.0,1003169.3399999999,844434.625,841343.0,1784106.0,3136000.0,3887000.0,440.4,630.0,4672670.568000001,24816774.4,2823911.8840000005,10882183.0,-80504.96499999985,-879531.8000000007,0.0,0.7163019434246544
2019-12-02 14:58:02,2003829.2999999998,1238383.375,1222615.0,2404242.0,5388750.0,11661000.0,1013263.2899999998,837500.0,835336.0,1621917.0,3842750.0,2827000.0,444.6,630.0,4598900.0370000005,21948648.2,2782044.631,10511661.4,-41867.25300000049,-370521.5999999996,0.0,0.7132504491541817
2019-12-02 14:59:02,1998257.5799999996,1227694.375,1187986.0,2347002.0,5035375.0,8481000.0,1027402.3799999999,858701.5,859364.0,2127573.0,4726125.0,8127000.0,446.4,630.0,4518531.714,19853551.2,2744916.003,10954745.0,-37128.628000000026,443083.5999999996,0.0,0.7101853756232853
2019-12-02 15:00:02,2009277.0899999996,1245538.875,1225442.0,2289762.0,5521250.0,9187000.0,979622.9099999999,840680.25,871732.0,1679157.0,3710250.0,6007000.0,446.8,630.0,4471514.673,18801237.2,2721565.367,11017073.0,-23350.63599999994,62328.0,0.0,0.7071067811865477
2019-12-02 15:01:02,2048565.3299999996,1269435.0,1209541.0,2461482.0,6492875.0,7774000.0,1013501.6999999998,853577.75,896820.0,2146635.0,5830375.0,7774000.0,456.2,630.0,4466507.131,17706126.0,2715289.7490000003,11845377.6,-6275.617999999784,828304.5999999996,0.0,0.7040147244559687
2019-12-02 15:02:02,2056408.0199999998,1278047.5,1263604.0,2556900.0,6713750.0,4594000.0,882146.4299999999,795715.5,875618.0,2137104.0,4107750.0,6007000.0,451.8,630.0,4496924.889,16581677.6,2688196.342,12534327.2,-27093.407000000123,688949.5999999996,0.0,0.7009092642998508
2019-12-02 15:03:02,2061750.7799999998,1304858.75,1340636.0,2671380.0,6625500.0,6360000.0,891410.3999999999,811175.0,869611.0,2175255.0,5256125.0,12367000.0,450.8,630.0,4545408.46,15822255.2,2665415.764,14835669.8,-22780.578000000212,2301342.6000000015,0.0,0.6977904598416802
2019-12-02 15:04:02,2012320.5299999998,1277165.0,1272438.0,2776329.0,6492875.0,6360000.0,776559.9599999998,698144.875,730389.0,1488348.0,3577750.0,6714000.0,449.6,630.0,4575005.575,15775420.6,2557340.9550000005,14195549.8,-108074.80899999943,-640120.0,0.0,0.6946583704589975
2019-12-02 15:05:02,1994221.8899999997,1236528.25,1239576.0,2347002.0,7376375.0,4947000.0,735010.7399999999,669788.0,709541.0,1326159.0,2959375.0,4947000.0,452.8,630.0,4573019.21,15309893.6,2441801.8710000003,13762775.2,-115539.08400000026,-432774.6000000015,0.0,0.6915130557822698
2019-12-02 15:06:02,1963090.8899999997,1215282.75,1243110.0,2480571.0,6934625.0,8481000.0,711950.8499999999,651457.625,642403.0,1259361.0,2606000.0,3180000.0,444.8,630.0,4551807.672,15543461.4,2290184.2760000005,12021645.4,-151617.59499999974,-1741129.7999999989,0.0,0.6883545756937539
2019-12-02 15:07:02,1922085.1799999997,1203754.5,1224382.0,2289762.0,6316250.0,8481000.0,643964.3099999999,615061.875,626502.0,1106703.0,2031750.0,2473000.0,435.2,630.0,4502240.104,16187933.8,2156593.9270000006,10693565.2,-133590.34899999993,-1328080.2000000011,0.0,0.6851829903263593
2019-12-02 15:08:02,1914834.3299999998,1217314.5,1206007.0,2604582.0,5742000.0,8481000.0,685380.1499999999,618728.0,613781.0,1068552.0,2473500.0,4240000.0,430.0,630.0,4428422.164,16422074.2,2025732.4770000007,8290299.6,-130861.44999999995,-2403265.5999999996,0.0,0.6819983600624989
2019-12-02 15:09:02,1924403.6699999997,1218551.25,1217314.0,2680911.0,6669625.0,6360000.0,605048.1299999999,580963.0,546997.0,992223.0,2208500.0,2473000.0,428.2,630.0,4388091.242000001,16438340.6,1931315.3360000006,7069024.6,-94417.14100000006,-1221275.0,0.0,0.6788007455329417
2019-12-02 15:10:02,1938943.4399999997,1217888.75,1242756.0,2700000.0,6492875.0,6360000.0,557869.6799999999,531316.25,525088.0,896832.0,1325125.0,1767000.0,420.4,630.0,4373943.652,16614840.2,1831302.1740000006,6020309.2,-100013.16200000001,-1048715.3999999994,0.0,0.6755902076156604
2019-12-02 15:11:02,1959484.4999999998,1234540.625,1255477.0,2222964.0,5521250.0,4594000.0,520966.3499999999,502871.0,503887.0,887274.0,1192625.0,1767000.0,416.4,630.0,4379547.348999999,15503243.8,1735684.7490000005,5380616.8,-95617.42500000005,-639692.4000000004,0.0,0.672366807434668
2019-12-02 15:12:02,1990634.6699999997,1266696.25,1230389.0,2394711.0,5830375.0,6714000.0,497076.74999999994,494390.5,492226.0,839565.0,1943500.0,2120000.0,416.4,630.0,4407046.9969999995,15073658.6,1655317.7620000006,5238939.2,-80366.98699999996,-141677.59999999963,0.0,0.6691306063588585
2019-12-02 15:13:02,1993372.7399999998,1260821.25,1255477.0,2347002.0,6272125.0,9187000.0,455555.87999999995,475088.375,489399.0,696465.0,2031750.0,1413000.0,416.2,630.0,4441350.029000001,15269367.6,1555748.583,4510771.8,-99569.17900000047,-728167.4000000004,0.0,0.6658816660008344
2019-12-02 15:14:02,1986560.9099999997,1257950.0,1181272.0,2375622.0,5079500.0,6360000.0,477642.4199999999,491872.75,489046.0,982692.0,1722625.0,1767000.0,415.6,630.0,4454452.827000001,14890284.8,1500859.191,4270490.6,-54889.39199999999,-240281.2000000002,0.0,0.6626200482157374
2019-12-02 15:15:02,1984528.6199999996,1266828.75,1189046.0,2528280.0,6051250.0,10601000.0,498068.99999999994,514620.125,561838.0,915894.0,2120125.0,2473000.0,416.6,630.0,4462615.863000001,15615815.8,1492909.8300000005,4574503.0,-7949.360999999568,304012.4000000004,0.0,0.6593458151000691
2019-12-02 15:16:02,1963005.0299999998,1241519.5,1235689.0,2957607.0,7111250.0,9187000.0,508878.44999999995,522438.25,561838.0,820503.0,2782625.0,3180000.0,416.0,630.0,4460758.144000001,16999344.4,1505995.9000000004,5161748.8,13086.069999999832,587245.7999999998,0.0,0.6560590289905077
